# Gene Family	RAG_100_Abundance-RPKs	RAG_101_Abundance-RPKs	RAG_102_Abundance-RPKs	RAG_103_Abundance-RPKs
K00528	1.139	4.067	2.028	0
K00529	1.294	0	0	0
K00533	0	0	0.433	0.864
K00534	0	0	0.283	1.013
K00537	4.699	7.451	12.251	0.584
K00547	1.192	2.005	1.808	0
K00548	1.695	7.01	6.261	1.506
K00549	4.564	6.644	4.303	0.396
K00554	8.082	18.041	42.246	47.343
K00555	0	0	0	0
K00556	0.487	0.267	0	0.185
K00557	0.4	0.268	0	0
K00558	9.274	15.64	21.133	17.371
K00560	10.624	11.084	38.586	56.382
K00561	92.894	46.011	12.547	270.766
K00563	4.068	1.766	1.393	1.201
K00564	2.918	3.375	0.355	0.11
K00566	8.878	39.963	55.413	77.55
K00567	0.917	6.176	6.726	0.803
K00568	5.106	0	0.275	0.309
K00571	2.48	8.563	36.829	5.299
K00573	4.863	0	0.065	0
K00574	2.411	0	1.823	0
K00575	2.807	2.057	0.509	0
K00577	0	0	0	0
K00578	0	0	0	0
K00579	0	0	0	0
K00580	0	0	0	0
K00581	0.384	0.194	0	0
K00582	0	0	0	0
K00583	0	0	0	0
K00584	0	0	0	0
K00595	0	1.057	7.711	0
K00598	3.102	0	0	0
K00600	12.95	36.086	39.079	47.663
K00602	12.142	30.629	68.991	60.084
K00603	0	0	3.242	0
K00604	10.365	17.68	27.838	47.424
K00605	6.075	1.017	27.011	52.299
K00606	4.05	8.494	53.799	44.078
K00609	5.668	23.463	38.776	42.61
K00610	8.742	5.765	17.36	47.668
K00611	3.12	13.025	5.907	0.776
K00612	0	0	0	0
K00613	0	0	0.561	0
K00615	14.821	31.815	24.028	24.364
K00616	12.394	13.149	38.655	59.269
K00619	0	0	0	0
K00620	4.087	13.055	8.421	0.641
K00625	6.36	11.073	20.018	5.614
K00626	15.662	3.619	19.441	1.093
K00627	0.349	0.915	0	0
K00631	0.544	0	0	0
K00632	8.033	0	0.406	0.122
K00633	1.197	0	2.233	0.358
K00634	0	0.214	0.41	0
K00639	7.684	0	0	1.191
K00640	7.232	14.235	13.279	3.125
K00641	0	0	0	0
K00645	3.109	12.844	3.545	0.092
K00647	0	0	0	0
K00648	2.858	9.235	21.636	55.36
K00651	9.729	14.683	37.869	54.74
K00652	8.173	19.952	16.352	41.47
K00655	4.734	15.224	23.728	5.205
K00656	4.816	9.757	15.769	6.324
K00657	1.673	0.926	0.565	6.797
K00658	1.187	0	9.704	3.492
K00661	5.54	10.727	20.328	7.032
K00662	0	0	0	0
K00663	0	0	0	0
K00666	0	0	0.838	0
K00672	0.255	0	0	0
K00673	3.124	0	0.098	0
K00674	1.776	6.388	6.908	4.957
K00675	1.542	0	0	0
K00677	6.552	0.826	2.483	4.8
K00681	1.238	0.344	0.502	0
K00684	4.304	0	0.873	5.93
K00687	0	0	0	0
K00688	7.087	7.536	15.411	1.283
K00689	0	0	0	0
K00690	0.743	5.857	10.773	0.591
K00691	0	0.452	0	0
K00692	0	0	0	0
K00694	3.388	1.692	0.043	0.161
K00697	2.41	0	0	0.123
K00700	3.215	20.773	40.623	41.384
K00702	3.453	13.943	4.841	1.385
K00703	5.699	9.551	3.98	0.108
K00705	5.028	11.229	17.111	7.988
K00721	8.539	39.724	2.548	12.451
K00737	0	0	0	0
K00748	0.82	0.221	0.833	8.02
K00756	0.302	5.239	1.026	1.111
K00757	5.94	7.143	8.868	0.169
K00758	1.163	0	0	0
K00759	1.925	25.112	37.074	66.522
K00760	5.333	6.168	19.955	48.29
K00761	5.435	32.84	41.119	11.156
K00762	11.662	12.368	45.351	62.657
