# Gene Family	RAG_100	RAG_101	RAG_102	RAG_103	RAG_104	RAG_105	RAG_106	RAG_107	RAG_108
K05822	0	4.282	0	0	0	0	0	0.579	0.855
K05823	0	6.501	1.548	0	0	0	0	0	0
K05825	2.488	0.938	2.537	1.116	0	11.585	10.283	1.338	2.275
K05826	0	0	0	0	0	0	0	0	0
K05827	0	0	0	0	0	0	0	0	0
K05830	0	0	0	0	0	0	0	0	0
K05831	0	0	0	0	0	0	0	0.156	0
K05832	0.814	9.378	33.603	1.365	3.165	7.693	8.853	9.613	0.781
K05833	8.084	6.271	15.834	1.799	1.79	4.847	10.384	6.516	4.091
K05834	4.856	0	0	0	0	0	0	0.486	0
K05835	8.48	0	0	0	0.475	0.269	0	0.918	0
K05836	0.36	0	0	0	0	0	0	0	0
K05837	1.163	6.34	15.882	59.129	42.606	17.967	7.439	55.12	0
K05838	1.386	0	0	0	0	0.433	0	0.457	0
K05839	2.427	0	0	0.529	0	0	0	0	0
K05844	0.295	0	0	0	0	0.271	0	0	0
K05845	0	1.559	0	0	0.691	0.793	0	0	0.661
K05846	6.82	2.282	1.053	0	0.691	1.708	0	0.298	0.922
K05847	0	22.571	0.662	0	1.552	2.283	0	1.229	0.723
K05851	0.429	0	0.043	0	0.131	0.215	0.146	0.116	0
K05873	0	0	0	0	0	1.595	0	0	0
K05874	0	0	0	0	0	0	0	0	0
K05875	0.946	0	0	0	0	0	0	0	0
K05876	3.881	0	0	0	0	0	0	0	0
K05877	2.036	0	0	0	0	0	0	0	0
K05878	1.891	0	2.819	0	0	3.127	0.38	0.322	0
K05879	0	2.023	4.39	0	0	1.61	0	1.192	0
K05880	2.086	0	0	0	0	0	0	0	0
K05881	9.265	6.812	0	0	0.333	0.384	0	1.618	0
K05884	0	0	0	0	0	0	0	0	0
K05887	1.843	0	0	0	0.449	0.604	0	0.363	0
K05895	0.975	0.32	2.125	0	0.273	2.311	0.548	0.613	0
K05896	1.572	6.457	11.861	1.223	0.651	13.393	10.062	1.02	0
K05916	1.185	0	0.07	0	0.157	0.295	0	1.073	0
K05919	0	0.331	3.159	0	0.731	5.196	0	1.047	0.323
K05921	0	0	0	0	0	0	0	0	0
K05922	0	0	0	0	0	0	0	0	0
K05927	0	0	0	0	0	0	0	0	0
K05934	0.378	5.465	13.314	0.423	0.43	4.483	0	4.512	1.034
K05936	2.588	2.614	4.056	0.411	0.272	1.014	0	1.992	0.719
K05939	3.378	0	0	0	0	0.281	0	0	0
K05942	1.082	9.574	15.409	0.844	0.67	3.207	10.393	9.883	0.532
K05946	1.55	4.422	3.683	2.192	0.237	3.836	9.04	1.234	0.788
K05952	0	0	0	0	0	0	0	0	0
K05964	5.126	0	0	0.29	0.194	0	0	0.397	0
K05966	2.253	0.28	0	0	0	0.315	0.708	0.19	0
K05967	0	0	1.82	0	0.397	1.152	1.17	0.569	0
K05970	0.502	1.409	10.307	8.655	86.507	24.389	14.371	32.783	0.792
K05979	0	0	0	0	0	0	0	0	0
K05982	3.308	0	0	0.368	0.105	0.289	0.623	0.22	0
K05984	3.75	0	0	0.457	0.408	0.282	0	0.292	0
K05985	0.871	4.509	1.807	0.805	0.478	0.802	13.62	2.241	1.741
K05988	0	0	0	1.019	4.281	0	0	5.212	0
K05989	0	0	4.922	2.259	20.957	4.195	1.374	35.943	0
K05995	2.037	1.328	0.571	0	0.356	1.812	2.038	1.096	0.608
K05997	3.829	0	0	0	0.427	0.338	0	0.198	0
K06001	11.622	7.863	26.039	41.621	79.186	49.757	9.6	36.724	12.769
K06006	5.752	0	0	0	0.181	0.87	0	0.988	0.868
K06012	3.684	9.654	10.704	0.905	1.639	17.057	3.466	1.865	0.368
K06013	0	0	0.585	0	0.921	2.785	2.123	0.679	0
K06015	0	0	0	0	0	0	4.233	1.811	0
K06016	0.465	1.013	3.818	0	1.612	12.635	6.258	1.684	0
K06019	0	0	0	0	0	0.293	1.824	0	0
K06020	0	0	0	0	0	0	0	2.228	0.433
K06023	0.393	8.731	19.08	1.106	1.953	16.673	2.118	1.834	0.874
K06024	1.518	10.586	13.726	0.781	1.137	3.675	1.193	3.958	2.028
K06034	0	0	0	0	0	0	0	0	0
K06039	3.14	0	0.599	0.39	0	0.965	0	0.874	0
K06041	2.605	0.962	1.508	4.511	36.812	5.577	6.988	21.359	0.583
K06042	0.836	0.347	2.916	0	0	0.26	0.71	1.032	0.764
K06048	2.074	0	0	0	0	0	0	0.215	0
K06073	3.235	0	0	0	0	0	0	0.5	0
K06074	5.141	0	0.145	0	0	0.254	0	0.498	0
K06075	6.499	2.115	0	0	0	0	15.611	0.895	0
K06076	2.212	0	1.686	5.669	34.857	4.857	0.424	22.491	0
K06077	5.755	0	0	0	0	0	0	0.499	0
K06078	11.252	0	0.654	0	0.67	1.065	1.335	0	0
K06079	1.738	0	1.083	5.739	28.858	2.96	0.926	16.922	0
K06080	8.449	0	0	0.788	0	0.585	0	0.351	0
K06113	0	0.39	1.587	0.472	2.665	0.218	0	5.759	0.406
K06117	0	0	0	0	0.258	0	0.95	0.792	0
K06120	0	0	0	0	0	0	0	0	0
K06121	0	0	0	0	0	0	0	0	0
K06122	0	0	0	0	0	0	0	0	0
K06131	4.935	9.533	10.085	0.791	0.944	6.797	2.191	7.981	1.416
K06132	2.467	0	0	0	0	0.202	0	0.162	0
K06133	3.286	0.768	2.358	0	0	11.206	0.685	1.107	0
K06136	0	0	0	0	0	0	0	0	0
K06137	0	0	0	0	0	0	0	0	0
K06138	0.229	0.527	0	0	0	0	0	0	0
K06140	9.441	0	0.472	0.766	0.361	1.144	0.478	0.949	0
K06141	1.474	0	0	0	0.345	0.669	0	0.763	0
K06142	4.53	1.257	8.665	7.708	119.662	27.95	11.234	39.47	1.942
K06143	0	0	6.473	39.237	6.42	1.341	1.601	9.45	0.311
K06144	1.305	0	0	0	0	0.264	0	0.834	0
K06145	1.047	0	0	0	0	0.151	0	0	0
K06146	1.256	0	0	0	0	0	0	0.472	0
K06147	38.27	65.981	131.642	26.198	85.34	149.937	48.372	63.82	47.946
K06148	0.893	0.665	0	0	0	0	0	0	0
K06149	5.967	0	0	0.424	0	0.525	0	0.553	0
K06152	0	0	0	0	0	0	0	0	0
K06153	7.511	15.79	28.845	73.398	136.746	47.396	20.661	59.398	1.286
K06155	2.529	0	0	0	0	0.176	0.55	0	0
K06156	1.091	0	0	0	0.217	0.71	0	0.448	0
K06157	0	0	0	0	0	0.613	0	0.495	0
K06158	10.132	35.885	11.725	7.805	77.45	26.771	14.082	9.974	11.636
K06159	1.469	0	0	0	0	0	0	0	0
K06162	0	0	0.236	0	0.15	0.641	0	0.301	0
K06163	4.854	0.23	0	0	0	0.194	0.459	0.308	0
K06164	0.661	0	0.221	0.493	0.674	1.092	1.21	0.85	0
K06165	0	0	0.179	0	0.44	1.045	0	1.066	0
K06166	0	0	0	0	0.73	0.574	0	1.045	0
K06167	5.533	0	0.271	0	0	1.527	0	0.498	1.682
K06168	2.035	2.789	33.281	50.056	70.711	48.005	14.94	68.451	3.633
