# Gene Family	RAG_100	RAG_101	RAG_102	RAG_103	RAG_104	RAG_105	RAG_106	RAG_107	RAG_108
K02004	12.945	73.636	134.989	103.062	335.396	153.972	81.331	225.901	13.99
K02005	9.197	6.797	45.643	130.652	121.706	30.975	9.878	107.232	1.24
K02006	0	1.079	0	0.653	0	0	9.843	0	0
K02007	0.295	1.397	12.381	0	1.065	3.909	8.117	1.231	0.404
K02008	0.239	1.126	1.139	0	0	0	5.558	0	0
K02009	0	0.518	0.559	0	0	0	0	0	0
K02010	1.513	0	0.84	0.931	0.291	0.574	14.006	1.537	0
K02011	0	0	0.636	0.389	0	0.619	7.261	1.196	0
K02012	0	0	0.686	0.298	0	0.776	6.03	0.925	0
K02013	18.695	9.652	16.475	9.756	41.253	16.65	7.844	32.751	1.689
K02014	4.09	0	0.226	0.962	43.024	8.086	1.243	16.071	0.495
K02015	17.075	1.959	15.244	6.986	139.872	33.14	8.9	45.608	1.34
K02016	9.246	2.25	14.639	47.666	110.185	83.122	14.381	67.874	1.063
K02017	6.399	0.704	4.27	0.516	0.442	3.745	2.853	0.945	1.131
K02018	4.66	0	2.926	0	0.366	4.257	0.846	0.769	0.503
K02019	2.713	0	1.893	0	0.89	1.172	0	0.753	0
K02020	1.543	2.092	3.57	1.278	0.463	5.345	1.995	2.062	0
K02021	0	0	0	0	0	0	0	0	0
K02022	0	0	0	0	3.283	1.539	0	0.388	1.736
K02024	3.74	0	0	0	0	0.215	0	0	0
K02025	3.385	6.819	4.206	11.237	3.296	15.252	12.389	5.91	1.21
K02026	3.099	3.863	1.916	11.807	1.183	14.57	12.472	1.349	1.512
K02027	7.901	16.732	34.434	12.225	2.928	36.251	14.623	8.702	3.426
K02028	14.009	23.535	24.046	3.655	8.822	29.024	30.185	11.748	14.998
K02029	2.242	18.94	34.121	0	3.963	35.967	14.667	9.755	2.704
K02030	5.529	18.052	69.825	4.138	8.705	51.476	45.074	19.253	7.021
K02031	3.213	3.086	5.016	0	2.028	5.15	5.778	9.546	0.969
K02032	1.789	1.155	3.563	0	2.838	2.469	5.014	1.16	1.489
K02033	1.923	9.049	26.33	1.556	6.681	6.731	1.087	5.522	3.758
K02034	2.76	7.57	12.876	2.254	6.39	4.17	9.218	2.648	4.39
K02035	5.823	7.74	17.77	1.451	5.698	1.308	3.042	11.077	2.763
K02036	3.155	18.345	29.746	48.046	40.191	25.655	20.271	35.545	2.136
K02037	6.363	5.159	6.861	2.439	0.759	3.078	4.068	2.011	0
K02038	2.255	9.071	18.234	41.738	9.475	17.82	13.74	21.618	1.083
K02039	3.955	8.762	6.556	40.217	13.651	17.242	11.126	2.882	0.932
K02040	3.99	14.957	33.603	0.77	40.934	11.484	10.24	29.181	1.861
K02041	3.735	3.607	1.541	0.351	0	5.614	14.571	0.723	6.27
K02042	0.25	1.603	1.281	0.367	0	0.161	9.104	0.945	0.643
K02043	5.456	0	0	0	0	0	0	0	0
K02044	0.36	2.952	0.458	0	0	0	11.284	0	0.415
K02045	2.812	5.374	12.278	1.484	3.242	3.13	6.892	1.28	0
K02046	4.419	3.687	7.371	0	0	1.218	0.832	1.204	0.46
K02047	3.685	7.778	15.093	1.645	0.534	4.304	0	6.252	0.452
K02048	2.824	1.224	0.695	0.407	0	0.324	0	0.84	0
K02049	0	0	1.555	0.601	1.546	2.812	3.07	1.006	0.324
K02050	0.7	2.421	4.27	2.645	0.867	13.795	2.565	1.532	0.689
K02051	1.483	2.729	15.661	1.784	5.402	16.399	1.027	2.592	0.259
K02052	0.916	0	0.665	0	0	0	0	0.216	0
K02053	0	1.091	0.679	0	0.566	0	1.42	1.419	0
K02054	1.126	2.331	0.405	0	0.758	0	1.001	0.503	0
K02055	3.083	0.716	0.406	0.326	0	0	0	1.348	0
K02056	5.484	5.528	13.448	0.363	3.326	15.741	3.026	3.552	3.323
K02057	10.639	10.686	44.623	3.026	8.341	32.758	6.619	12.314	3.105
K02058	5.916	0	3.632	0	0.768	0.91	1.831	1.363	0
K02062	3.607	0	0	0	0	0	0	0.334	0
K02063	2.263	0	0	0	0.531	0.702	0	0.963	0
K02064	2.124	0	0	0	0	0	0	0.617	0
K02065	3.104	0	15.746	53.522	8.532	4.25	7.68	20.288	0.427
K02066	4.009	0	0.199	0.553	106.009	15.057	5.202	7.563	1.63
K02067	5.98	0	14.29	51.553	35.13	5.884	5.77	31.372	0
K02068	3.986	0.362	1.317	0	1.863	0.621	0	0.608	0
K02069	1.7	2.751	1.412	6.967	36.388	4.094	0.394	23.186	0
K02071	5.896	6.485	2.476	0.421	1.959	12.938	10.233	3.217	0.531
K02072	3.266	4.648	4.15	0.243	1.273	15.507	14.882	0.767	0
K02073	7.034	5.875	4.667	1.15	1.14	5.448	18.822	3.825	0.64
K02074	0	1.258	0	0	0	0	0.343	1.023	0
K02075	0	1.24	0	0	0	0	1.763	0	0
K02076	0	0	0	0	0	0	0.896	0	0
K02077	0	0.515	1.223	0	0.872	1.642	4.906	0.597	0
K02078	2.912	34.105	30.661	76.922	123.659	63.866	11.845	87.724	7.335
K02079	9.652	0	0	0.18	1.268	0.245	0	0.849	0
K02080	0	0	0	0	0.467	0.342	0	0.053	0
K02081	3.299	0.296	3.38	0	0.892	0	0	0	0
K02082	0	0	0	0	0	0	0	1.165	0
K02083	0	0	0	0	0	0	0	0.341	0
K02086	0	0.879	0	0	0	0	0	0	0
K02099	1.128	0	0	0	0	0	0	0	0
K02100	0	0	0	0	0	0	0	0	0
K02103	0.458	0.562	1.152	0	1.833	2.005	0	3.295	0.44
K02106	0	0	0.497	0	0.294	0.606	0	1.587	0
K02107	0.379	2.448	3.594	1.474	0	1.66	7.531	0.277	0
K02108	3.437	9.98	28.157	38.004	5.378	17.501	8.543	4.043	2.741
K02109	7.647	10.493	41.115	55.845	61.215	35.192	19.288	53.967	5.474
K02110	11.103	19.59	59.298	62.772	64.756	68.244	33.398	86.982	4.624
K02111	14.498	37.377	60.569	35.253	32.282	50.151	29.296	69.479	15.961
K02112	16.551	52.185	67.366	50.048	56.202	51.323	49.173	82.946	23.461
K02113	6.647	15.353	25.615	51.06	48.968	29.083	14.822	39.093	2.227
K02114	6.116	15.408	11.771	9.803	52.048	20.893	14.729	30.866	1.53
K02115	6.062	14.784	13.739	5.383	53.775	36.742	19.058	24.672	2.696
K02116	6.635	0	0	0	0	0.321	0	1.259	0
K02117	15.905	3.857	2.692	0	1.565	15.541	7.744	0.254	20.184
K02118	21.816	6.45	50.072	61.079	42.278	42.061	14.664	64.369	31.106
K02119	0.388	0.769	1.345	0.417	0.426	8.912	6.565	0.235	0.891
K02120	0	7.307	0.534	0.312	1.606	7.019	0	0.565	0.667
K02121	1.335	7.52	3.473	5.714	31.638	17.666	6.14	21.628	0.93
K02122	0	0	3.882	0	1.794	13.181	6.292	2.642	0
K02123	0.48	7.988	19.459	41.891	18.243	17.72	7.581	24.059	1.541
K02124	4.282	11.969	24.589	1.067	2.767	19.756	9.291	4.497	2.93
K02149	0	0	0	0	0	0	0	0	0
K02160	8.71	3.953	2.609	0	0.322	19.454	0.96	3.735	1.9
K02167	3.714	0	0	0.839	0.219	0.749	0	1.095	0
K02168	5.776	0	0	0	0	0	0	0.185	0
K02169	3.377	0	0.445	0.566	8.224	4.102	0.526	5.642	0
K02170	12.71	0	0	0	0.66	1.113	0.615	1.948	0
K02171	0	0	0	0	0	1.365	0	0	0
K02173	0	0	1.768	0	1.113	1.718	0.735	0.608	0.525
K02182	3.49	0	0	0.214	0.117	0.541	0.117	0.578	0
K02188	1.309	1.378	6.448	6.294	34.231	7.567	5.309	20.051	0
K02189	0	0.362	1.079	0.348	0	2.944	1.765	0.331	0.551
K02190	0.675	2.176	5.841	1.308	0	1.366	12.475	10.849	0.441
K02191	0	0.26	0	0	0	1.095	0	0.61	0
K02192	9.273	0	0	0.759	1.187	2.757	0	1.275	0
K02193	3.78	0	0	0	0.199	0	0	0.064	0
K02194	4.766	0	0.357	0.621	0	1.152	0	0	0
K02195	4.496	0	0	0.419	0	0	0	0	0
K02196	12.781	0	0	0.588	0.466	1.107	0.925	1.002	0
K02197	7.444	0	0	0	0	0.303	0	0.413	0
K02198	3.725	0	0.25	0.744	0	0.69	0	0	0
K02199	7.235	0	0	0	0.468	0.803	1.083	0.922	0
K02200	0.875	0	0	0	0	0	0	0.256	0
K02203	4.31	8.3	21.628	0.38	0.493	3.372	11.273	8.16	0.626
K02204	0	0	0	0	0	0	0	0.419	0
K02217	14.067	3.715	33.053	54.259	48.335	41.185	29.566	32.8	11.356
K02218	0	0	0	0	0	0	0	0	0
K02221	10.938	4.892	0	0	1.784	1.696	6.07	4.845	0
K02224	1.441	4.083	13.671	4.222	28.391	9.074	6.05	24.567	0.481
K02226	7.943	1.88	6.097	7.85	28.414	16.011	4.828	17.053	1.426
K02227	0.156	1.646	8.891	0.204	0	4.396	6.266	5.614	0.577
K02230	0	0.181	0.374	0.63	8.613	6.174	1.684	0.663	0
K02231	4.584	1.571	13.156	7.847	33.239	4.921	1.561	15.871	0.902
K02232	1.134	5.189	22.786	5.347	41.487	10.846	5.907	22.786	0.952
K02233	1.219	1.172	19.907	4.379	32.32	10.678	1.461	17.128	0
K02236	0	0	0.295	0	0	0	0.458	0	0
K02237	4.898	12.692	12.972	1.381	0.744	17.466	11.006	5.618	1.043
K02238	2.203	2.209	15.492	11.467	43.224	7.642	9.296	31.907	1.384
K02240	0	0	0.761	0	0	0	0	0	0
K02241	0	0	0	0	0	10.392	0	0	0
K02242	0	0	0.98	0	0	0.148	0.866	1.162	0
K02243	0	1.873	0	0	0	0	1.299	0	0
K02244	0	1.597	1.987	0.254	0	0	0	0	0
K02245	0	0.413	0	0	0	0	0	0	0
K02246	0	2.503	0	0	0	0	0	0	0
K02248	0	0.235	0	0	0	0	0	0	0
K02250	0	0	0	0	0	0	0	0	0
K02255	2.55	0	0	0	0.179	0	0	0.192	0
K02257	3.851	0	0.228	0	0	0.215	0	0.218	0
K02261	0	0	0	0	0	0	0	0	0
K02262	0	0	0	0	0	0	0	0	0
K02278	0	1.576	6.817	0	0	1.304	0	1.312	0
K02279	0	0	0	0	0	0	0	2.241	0
K02280	0	0	0	0	0	0	0	0	0
K02282	0	0	0	0	0	0	0	0	0
K02283	0.697	7.005	5.715	1.02	1.258	14.074	9.137	1.989	0
K02291	0	0	0	0	0.309	0	0	0	0
K02297	2.972	0	0	0	0	0	0	0.174	0
K02298	0.622	0	0	0	0	0	0	0	0
K02299	1.214	0	0	0	0	0.381	0	0.443	0
K02300	7.57	0	0	0	0	0.408	0	0	0
K02302	4.747	0	0.321	0.086	0.476	0.691	0.147	0.758	0
K02303	0	0	0	0	0	0	0	0	0.542
K02304	0	3.385	0	0.832	0	1.389	2.632	0.606	0
K02313	4.482	13.578	27.788	51.643	44.6	22.119	6.601	46.256	1.959
K02314	4.816	13.346	4.102	0.077	8.446	18.082	12.701	3.28	0
K02315	10.395	5.855	23.999	1.319	3.669	17.461	4.399	12.937	19.273
K02316	3.822	3.407	5.954	6.574	80.48	25.611	15.163	25.379	0.962
K02317	6.88	0.459	0.24	0	0	0.516	0.486	1.284	0
K02319	0	0	0	0	0	0	0	0	0
K02322	0	0	0	0	0	1.22	0.677	0	0.598
K02323	0	0	0	0	0	0	0.252	0	0
K02334	1.622	1.463	0	2.507	0	1.278	12.009	0.152	0.447
K02335	3.342	2.818	8.997	7.767	48.357	26.294	8.332	21.284	2.067
K02336	0	0	0	0	0.085	0.106	0	0	0
K02337	3.207	11.527	22.158	9.206	104.706	29.689	18.323	40.942	3.402
K02338	2.733	1.386	6.089	5.638	103.079	26.075	12.653	31.897	0
K02339	7.367	0	0	0	0.322	1.189	0.638	0.845	0
K02340	5.019	4.399	6.139	5.522	31.298	22.892	5.787	25.111	1.349
K02341	5.199	7.583	4.754	7.138	32.049	22.903	9.183	21.15	0.531
K02342	4.058	7.563	11.188	3.084	82.067	18.712	1.425	15.946	1.589
K02343	6.64	16.316	19.015	2.265	6.838	28.425	17.717	9.272	4.759
K02344	7.823	0	0	0	0	0.659	0	0.171	0
K02345	4.907	0	0.352	0	1.072	0	0	0.257	0
K02346	11.889	11.177	18.114	4.842	9.967	17.893	32.293	7.041	3.202
K02348	3.775	0	0	0.777	0	0	0	0.753	0
K02355	5.683	40.374	82.168	134.636	224.676	112.536	36.984	142.861	8.495
K02356	17.504	34.526	50.969	62.69	60.896	43.17	28.767	88.474	4.346
K02357	4.494	21.466	50.439	57.974	60.114	46.351	17.621	78.061	2.749
K02358	16.005	43.582	49.486	64.197	71.814	64.397	47.17	62.691	30.847
K02361	2.225	0	0	0	3.918	1.126	0	0.806	0
K02362	3.868	0	0	0	0	0	0	0	0
K02363	0	0	0	0	0	0	0	0.254	0
K02364	3.503	0	0	0	0.297	0	0	0	0
K02365	0	0	0	0	0	0	0	0	0
K02371	2.897	2.73	11.046	0.472	1.536	3.909	2.61	6.647	2.024
K02372	3.789	20.704	28.078	4.709	2.953	23.864	6.136	12.622	0.751
K02377	0.824	1.437	4.235	35.955	2.016	2.464	0	0.687	1.883
K02379	7.367	0	0.277	0	0.213	0.26	0	1.174	0
K02380	4.619	0	0.469	0.458	0.537	1.329	0.491	0.71	0
K02381	1.194	0	0	0	0	0	0	0	0
K02383	0	0	0	0	0	0	0	0	0
K02385	0	0.574	0.501	0	1.991	16.512	0	0	0
K02386	7.077	0	0.37	0	0	0.943	0	1.124	0
K02387	4.218	0.889	0	0	0	12.677	1.715	0.613	1.376
K02388	2.906	1.229	0.533	0	0.246	12.979	0	0.821	2.066
K02389	1.554	0.583	0.916	0	0.35	14.547	1.55	0.81	0
K02390	3.058	0.28	0	0	0	0	1.098	0	0.5
K02391	0	0	0	0	0	0	0	0.342	0
K02392	3.362	0.499	0.91	0.9	0.606	11.549	3.379	1.051	1.177
K02393	1.546	0	0	0	0.248	0	0	0.251	0
K02394	2.305	0	0	0.218	0	0	0	0.219	0
K02395	2.076	0	0.358	0	8.752	4.672	1.443	2.435	0
K02396	3.682	0	0.565	0	0.515	0	0.737	0	0.621
K02397	2.728	0.601	0.44	0.488	0	13.274	2.238	0.209	0
K02398	7.823	0.259	0.45	0.294	0	14.021	4.778	1.608	0
K02399	3.465	0	0	0	0	0	0	0.422	0
K02400	1.576	1.603	7.681	0.329	1.316	2.809	1.603	2.4	0.435
K02401	4.099	0.777	4.193	0.586	0.6	1.272	0	0.492	0.719
K02402	2.917	0	0	0	0	0	0	0.692	0
K02403	2.453	0	0	0	0	0.367	0	0.664	0
K02404	0	0	0.26	0	0	0	0	0	0
K02405	1.379	1.999	0.513	0.907	1.005	0.248	0	0.951	1.57
K02406	0	0	3.386	0	0.366	7.175	0	5.396	0
K02407	1.174	5.392	8.701	0.467	0.449	14.062	0	2.032	0.246
K02408	6.078	2.784	1.112	0	1.197	14.691	0	0.369	0.616
K02409	2.394	1.797	0.723	0	0	12.075	0	0.144	0.659
K02410	0.699	4.453	1.173	1.971	1.542	10.994	2.764	2.177	0
K02411	1.814	1.878	5.855	0	0.7	2.795	1.255	1.906	0
K02412	2.499	5.63	4.107	0.547	1.116	13.324	0.528	1.467	1.046
K02413	4.211	0.822	0.932	0	0.854	13.274	1.726	0	0
K02414	3.272	0	0.78	0	0.776	0.154	0	0	0
K02415	2.461	0	0	0	0	0	0.977	0.503	0.796
K02416	2.525	0	0.572	0.298	0	0	1.468	0.13	0
K02417	0	0	0.278	0.402	0	0	0	0	0
K02418	2.405	0	0.371	0.407	1.314	11.559	3.96	0.739	0.415
K02419	3.244	1.605	0.947	0.44	0.69	11.167	1.163	0.135	0.815
K02420	5.655	0	1.287	0.319	1.534	1.386	0	0.718	0.829
K02421	1.783	0.396	0.3	0	0	11.618	1.464	0.111	0
K02422	5.151	3.208	11.141	1.038	0.241	15.828	0	3.467	0
K02423	3.82	0	0	0	0.431	0	0	1.033	0
K02424	0.758	0.206	0.583	0.29	0	0	0	0.163	0
K02425	2.641	0	0.156	0.405	0.237	1.066	0	0.34	0
K02426	3.119	0	0	0	2.592	1.212	0	0.506	0
K02427	2.09	0	0	0.426	0.466	1.257	0	0.382	1.968
K02428	8.194	8.597	5.89	8.662	57.063	15.437	9.533	31.183	4.864
K02429	0.517	0	1.434	11.247	43.769	5.443	1.953	33.254	0
K02430	4.704	0	0	0	0	0	0	0	0
K02431	3.648	0.721	2.555	1.723	0.25	13.13	2.159	0.971	1.241
K02433	2.658	25.994	24.054	3.242	5.471	22.216	18.561	9.872	5.166
K02434	1.358	20.684	23.817	2.056	1.701	17.888	10.267	7.917	1.164
K02435	0.461	21.478	13.433	3.05	5.826	21.274	17.376	4.512	2.596
K02436	0	0	0	0	0	0	0	0	0
K02437	0	1.354	17.67	62.662	58.809	11.783	10.033	48.404	0
K02438	3.567	0	0	0.195	0.144	0.161	0	0.127	0
K02439	12.724	0.579	0	0	0.349	0.963	0	1.374	0.386
K02440	6.089	7.311	13.955	0.532	1.599	2.703	5.89	3.951	0.717
K02441	3.076	0.282	0	0.135	0	0.448	0	0.27	0
K02443	0	0.256	0.67	0.582	0	0.18	0	1.536	0
K02444	1.602	0	0	0	0	0.292	0	0	0
K02445	2.862	0	0	0.368	9.414	5.363	0.985	0.262	0
K02446	3.564	0	0	0.288	0.225	1.397	4.481	1.87	0
K02450	3.105	0	0	0	0.599	0.178	0	0	0
K02451	5.943	0	0	0.298	0	0.922	0.462	0	0
K02452	6.654	0	0	0	0.434	0	0	0	0
K02453	2.492	0	0	0	0	0	0	0.94	0.618
K02454	1.932	0.323	0	0	0	0.397	5.309	0.517	0
K02455	5.427	0	0	0.198	0	0	0	0	0
K02456	4.079	0	0	0	0.767	0.606	4.349	0.552	0
K02457	4.151	0	0	0	0	0.419	0	0.19	0
K02458	4.569	0	0	0	0	0.303	0	0.295	0
K02459	2.864	0	0	0	0	0	0	0.313	0
K02460	2.768	0	0	0	0	0.428	0	0.305	0
K02461	2.968	0	0	0	0	0	0.506	0	0
K02462	10.287	0	0	0.316	0.203	0.16	0	0	0
K02463	0	0	0	0	0	0	0	0	0
K02464	5.294	0	0	0.388	0	0.895	0.411	0	0
K02466	7.123	0	0	0	0	0	0	0.425	0
K02467	0	0	0	0	0.356	0.813	0.189	0.34	0
K02468	4.44	0	0	0	0.206	0.285	0	0.258	0
K02469	8.133	13.324	25.594	2.612	4.223	24.243	13.964	5.787	3.475
K02470	10.844	25.188	28.904	10.597	79.912	53.795	18.047	12.389	10.222
K02471	0.746	0	0	0	0	0.607	3.655	0	0
K02472	3.459	0.667	2.667	2.09	3.742	8.21	5.18	8.823	0.418
K02473	0	0	0	0	0	0.897	0	0	0
K02474	4.122	0	0.749	0.586	0	1.315	4.68	0.991	0.714
K02477	5.036	0	0.519	3.884	1.717	0.949	0.783	9.548	0.654
K02478	2.259	0	0	0	0	0	0.374	0	0
K02481	0	0	0.91	5.088	27.872	2.587	0	18.326	0
K02483	2.804	0	1.287	0	0	0	0.882	0	0
K02484	3.099	0	0.679	0	0	0.334	0.132	0.211	0
K02485	2.893	0	0	0	0	0	0	0.321	0
K02492	1.235	3.112	7.274	1.146	4.074	2.953	10.859	1.179	2.373
K02493	4.766	8.12	13.836	11.148	39.96	10.033	22.085	26.859	0
K02494	4.707	0	0	0	0	0.48	0	0.242	0
K02495	3.45	0	0	0.295	0.125	0.335	0	0.814	0
K02496	1.48	0	0	0	0.467	0.246	0	0.378	0
K02498	2.029	0	0	0	0	0	0	0	0
K02499	0.131	0	0	0	0.849	0.987	1.827	1.789	0.364
K02500	7.777	17.173	31.566	43.67	128.12	58.823	25.297	63.334	7.198
K02501	3.511	9.282	15.416	56.512	17.938	24.972	20.157	17.806	0.66
K02502	1.173	12.864	12.914	1.633	0	13.248	12.632	6.135	0.996
K02503	2.235	1.266	4.933	7.091	31.657	6.568	4.515	23.109	3.348
K02504	0	0	0	0	0	0	0	0.544	0
K02505	1.325	0	0	0	0	0	0	0	0
K02506	0	0	0	0	0	0	0	0	0
K02507	1.797	0	0	0.273	0	0	3.123	0	0
K02510	0.536	0	0	0	0	0	0	0.432	0
K02511	0	0	0	0	0	0	0	0	0
K02517	6.14	1.56	0.654	9.362	46.094	10.338	16.96	16.797	0
K02518	12.094	45.858	86.37	125.281	106.869	57.022	67.52	129.752	4.741
K02519	2.443	13.975	36.743	67.245	53.475	15.238	11.661	47.252	1.498
K02520	0.976	11.09	26.436	49.717	54.201	10.4	10.95	32.231	1.734
K02521	7.303	0.245	0	0	0	0	0.429	0	0
K02523	2.793	1.269	0	0.351	0.499	0	0	0.197	0
K02525	0	0	0	0	0	0	0	0	0
K02526	4.892	0	0	0	0	0	0	0	0
K02527	6.295	12.178	0.73	4.136	3.833	0.204	9.03	2.151	1.641
K02528	5.1	18.117	42.617	44.995	54.016	40.747	18.536	48.076	2.524
K02529	5.745	19.475	46.018	64.386	49.397	50.381	24.175	67.514	1.145
K02530	0	0.822	0	0	0	0	0	0	0
K02531	0	0.265	0	0	0	0	0	0	0
K02532	0.577	0.876	1.405	0	0	0	1.792	0	0
K02533	1.797	0	0.084	0	0.298	0	0	0.102	0
K02535	4.36	0.069	0.097	0.12	0	0.9	0.452	0.914	0
K02536	3.464	1.03	16.364	53.255	51.972	11.057	16.027	51.494	0.777
K02538	0	0	0	0	0	0	0	0	0
K02548	5.062	2.553	10.952	9.806	49.757	14.667	10.593	41.991	0.508
K02549	3.267	1.022	0	0	0.198	0.722	0	0.511	0
K02550	0	0	0	0	0	0	0	0.394	0
K02551	2.572	0.548	3.177	7.163	47.135	12.562	1.142	31.622	2.46
K02552	1.606	0	0	0	0	0.313	0	0.202	0
K02553	1.58	0	0	0	0	0.298	0	0.541	0
K02554	2.819	0	0.056	0	0	0	0	0	0
K02556	4.663	0	0	0	0	0	0	0.375	1.313
K02557	7.689	0	0.403	0.8	3.211	0.941	1.762	0.417	0
K02558	1.582	0	0.318	0	1.405	2.472	0	1.438	0
K02560	2.562	0	0.382	0	0.353	0.224	0	0.48	0
K02562	3.857	0	0	0	0	0	0	0	0
K02563	5.052	19.036	30.745	44.626	131.317	48.963	17.459	54.542	2.291
K02564	6.521	19.426	73.91	91.746	152.688	73.35	20.642	105.357	17.46
K02565	1.54	0	0	0	0	0	0	0	0
K02566	3.276	1.285	3.431	0.204	2.569	1.363	3.195	0.455	3.067
K02567	2.127	0	0	0	0.076	0.075	0	0.359	0
K02568	3.613	0	0	0	0	0	0	0	0
K02569	2.488	0	0	0	0	0	0	0.504	0
K02570	5.154	0	0	0.663	0.786	0.413	0	0	0
K02572	4.582	0	0	0	0	0	0.364	0.492	0
K02573	2.071	0	0	0	0	0	0	0	0
K02574	4.775	0	0	0	0	0	0	0.226	0
K02575	3.735	0	0	0	0	0	0	0	0
K02584	0	0	0	0.556	0	0.326	0	0	0
K02585	0.37	0	0	0	0	0	0	0	0
K02587	0.303	0.775	2.939	0.444	1.434	2.151	0	0	0.603
K02588	1.362	1.813	25.611	0.399	1.531	4.015	2.255	2.417	2.055
K02589	0	2.286	7.796	0	0	0.937	1.005	0.848	0
K02591	0	0	0	0	0	0	0	0	0
K02594	0	0	0	0	0	0	0	0	0
K02598	1.104	0	0	0.797	0	0.503	5.97	0.456	0
K02600	2.117	8.63	11.394	2.517	71.189	73.019	20.455	16.579	0.52
K02601	5.992	10.264	15.026	3.128	79.34	64.543	16.873	14.785	2.918
K02603	0	0	0	0	0	0	0	0	0
K02609	2.634	0	0	0	0	0	0	0	0
K02610	3.235	0	0	0	0	0	0	0	0
K02611	1.421	0	0	0	0	0	0	0	0
K02612	4.828	0	0	0	0	0	0.723	0	0
K02613	2.097	0	0	0	0	0	0	0	0
K02614	7.185	6.595	3.715	7.694	35.548	17.374	1.193	21.03	0
K02616	5.41	0	0	0	0	0	0	0	0
K02617	0	0	0	0	0	0	0	0	0
K02618	4.27	0	0	0	0	0	0	0	0
K02619	3.296	5.279	1.832	8.286	33.41	3.4	3.415	14.87	0
K02621	1.197	2.141	2.714	3.155	34.088	9.929	2.911	13.292	1.093
K02622	4.674	4.573	0.904	7.218	28.86	4.921	4.29	29.862	0.342
K02624	0	0	0	0	0	0	0	0	0
K02626	0.727	0	0	0	0.242	0.722	1.005	0.129	0
K02647	0.45	4.612	17.092	1.586	2.311	12.879	2.525	2.845	0
K02650	0.293	3.082	0	0	0	9.387	0	0	0
K02652	0.945	5.695	0.329	0	0	10.933	0	0	0.525
K02653	0	0.635	0.667	0	0.259	3.697	3.686	0	0
K02654	8.736	3.333	9.236	1.428	0	14.735	4.436	5.061	1.49
K02662	1.023	2.474	9.656	0.572	0.391	14.924	1.066	2.466	0.321
K02664	0	0	0	0	0	0	0	0	0
K02665	0	0	0	0	0	0	0	0	0
K02669	10.848	5.591	28.098	1.445	0.32	17.568	1.161	6.27	0
K02671	0	0.23	0	0	0.204	2.098	0	0	0
K02679	6.476	0	0	0.252	0	0.546	0	0.565	0
K02680	0	0	0	0	0.539	0.852	0	0.221	0
K02681	5.208	0	0	0	0.709	0.981	0	1.266	0
K02682	6.802	0	0	0	0	0	0	0.31	0
K02683	0	0.264	0	0	0	0.495	1.317	0	0.774
K02686	10.237	0	0	1.67	0.373	1.323	0	1.201	0
K02687	0.509	13.664	22.821	37.516	34.498	21.15	6.646	31.769	1.979
K02688	0.531	0	0	0	0	0	0	0.242	0
K02725	0	0	0	0	0	0	0	0	0
K02742	10.56	0	0	0.35	0.547	0.144	0	0.474	0
K02744	0	6.74	7.284	1.3	0	0.525	3.355	1.225	1.677
K02745	7	0	1.659	0.192	0.375	0.862	0	1.878	0
K02746	0	0	1.086	0	0.288	0.152	0	0	0
K02747	0	0	0	0	0	0	0	0.665	0
K02749	1.221	0	0.264	2.166	0	0	9.152	0.186	0.297
K02750	3.301	0	0.264	2.166	0	0	9.152	0.186	0.297
K02752	3.677	0	0.084	0	0	0	0	0	0
K02753	3.677	0	0.084	0	0	0	0	0	0
K02755	4.837	2.424	1.027	0.264	1.745	3.67	0.689	1.025	0.96
K02756	4.837	2.424	1.027	0.264	1.745	3.67	0.689	1.025	0.96
K02757	4.837	2.424	1.027	0.264	1.745	3.67	0.689	1.025	0.96
K02759	4.096	0	0	0	0.757	1.593	1.811	2.175	0
K02760	1.585	0.399	0	1.062	0.393	1.554	3.482	2.865	0
K02761	1.26	2.741	0	0	0.278	1.078	1.394	2.12	1.373
K02768	3.075	5.308	14.47	2.006	1.465	5.195	13.303	3.385	0
K02769	0.625	5.586	13.447	2.006	1.224	3.983	11.843	2.33	0.649
K02770	1.043	5.308	8.421	2.006	0.235	3.005	11.843	2.479	0
K02773	0	0	5.317	0	1.024	1.549	1.228	0.933	0
K02774	0	2.137	11.111	0.497	1.991	5.218	3.699	1.162	0
K02775	5.913	32.378	9.599	4.135	1.423	3.387	8.35	1.449	5.664
K02777	3.72	1.182	0.726	0.564	0	0.348	3.353	0	0
K02778	1.039	0.49	0	0	0	0.22	0	0	0
K02779	1.039	0	0	0	0	0.22	0	0	0
K02781	7.032	0.521	6.621	0.72	2.481	3.132	1.13	1.755	0
K02782	0.39	2.738	5.151	0	0	0.949	0	0.859	0
K02783	1.07	6.932	5.151	0	0	0.949	0.654	1.465	0
K02784	4.877	0	0	0	0.272	0.657	0.549	0.594	0
K02786	0	0	0	0	0	0	0	0	0
K02787	0	0.375	0	0	0	0	0	0	0
K02788	0	0.375	0	0	0	0	0	0	0
K02790	0.991	0	0	0	0	0	0	1.255	0.386
K02791	0.991	0	0	0	0	0	0	1.255	0.386
K02793	3.072	3.92	9.111	0	1.003	4.001	0.305	0.859	0.647
K02794	3.072	3.494	8.87	0	1.003	4.001	0.305	0.859	0
K02795	1.404	10.962	1.705	0	0.298	0.746	0.702	0.673	0
K02796	3.506	11.368	7.462	0	1.373	1.566	2.719	0.501	0.347
